ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Striga_Count_Ave,Striga_Count_SE,Sorghum_Count_Ave,Sorghum_Count_SE,Striga_count.Sorghum_count,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,log.Seedbank_Ave,log.Seedbank_SE,log.Infestation_Ave,log.Infestation_SE,Bacteria_ShannonIndex,Fungus_ShannonIndex
E01,Kewet,1391,40.01488889,9.913222222,7.6,172,11.7,2.8,18,0,0,164,5.6,1.3,3.4,452,96,0.5,730,4.8,380,18,65,0.41,2.5,0.6,1780,14,80,10,6.1,4.3,46,44,0,421,0,0,7.5,0.866025404,0,0,0,0.939335861,0.933333333,0.693147181,0.641853886,0,0,6.41883934,4.880135844
E02,Kewet,1386,40.01261111,9.923694444,7.5,260,26,5.3,23,1.6,0.3,75,6.3,1.3,4,489,93,0,40,5.8,430,25,47,0.36,2,0.78,1230,17,45,39,5.6,5.7,48,41,0,487,0,0,7,2.273030283,0,0,0,1.911657426,1.9,1.098612289,1.064710737,0,0,6.209225417,4.844425002
E03,Jile-Timuga,1663,39.93683333,10.45925,6.4,336,15.5,4.6,11,0,0,133,7,2.1,2.1,279,83,0,40,4.9,0,9,57,0.45,0.9,0.23,880,10,55,41,2,1.3,34,29,34,337,102.5,28.28574435,8,0.816496581,12.8125,118,38.6,25.10361451,6.321392252,3.270835564,1.987874348,4.778913387,3.678829118,6.334832755,4.969961319
E04,Jile-Timuga,1413,39.96775,10.24527778,7.2,494,27,6.8,25,0.6,0.2,98,8.3,2.1,2.1,282,71,0.8,220,5.9,315,20,45,0.38,1.4,0.22,2460,6,170,88,3.7,1.3,51,44,0,396,199.25,23.69027578,10.75,1.030776406,18.53488372,170.2,39.5,5.274766507,2.673532827,1.84582669,1.30833282,5.142832464,3.701301974,6.550061184,4.424735943
E05,Haftay-Humera,668,36.77644444,14.19330556,7.6,576,17.7,4,191,0.7,0.2,40,4.3,1,3.1,370,84,0,0,5,175,9,69,0.41,1.2,0.13,520,23,10,71,2.9,0.5,48,49,0,439,3.5,1.443375673,11.75,2.05649378,0.29787234,3.4,1.7,3.292762586,1.905255888,1.466337069,1.064710737,1.470175845,0.993251773,6.413738749,4.546235172
E06,Abergele,1627,38.99227778,13.23288889,6.8,200,17.7,13,0,0,0,29,1.9,1.4,1.1,139,85,0,40,2.7,0,14,10,NA,0.2,0,790,2,70,66,0,0,38,42,20,134,12.5,2.217355783,10.5,0.645497224,1.19047619,10.1,1.5,10.85697161,3.131737182,2.48490665,1.410986974,2.406945108,0.916290732,6.353617298,4.74288745
E07,Artuma-Fursi,1461,39.92683333,10.52166667,6.2,359,21.4,8.5,11,0.7,0.3,150,4.3,1.7,0.1,213,85,0.8,260,3,225,9,83,0.61,1.9,0,1420,13,75,98,3.1,0,41,12,44,252,1.25,0.62915287,8.5,1.322875656,0.147058824,1.6,0.9,3.439307358,3.433333333,1.466337069,1.481604541,0.965080896,0.641853886,6.424814007,4.6518455
E08,Artuma-Fursi,1452,39.94766667,10.515,6.5,319,23.1,6.9,7,0.6,0.2,249,3.3,1,2.1,283,84,2.8,670,6.8,455,31,41,0.9,1.9,0.31,1750,11,100,103,2.1,2,51,27,18,337,16.5,1.848422751,8.25,1.030776406,2,18.4,3.5,11.94841078,2.754592125,2.564949357,1.335001067,2.965273066,1.504077397,6.550088124,4.061693616
E09,Abergele,1587,38.99347222,13.25727778,6.7,60,4,4.5,0,0,0,39,1.6,1.8,1.2,77,87,0.6,0,3,0,1,7,NA,0,0.13,0,5,0,7,0,0.5,12,42,46,89,3.5,0.957427108,10.75,0.853912564,0.325581395,3.1,1,11.56381545,3.165964835,2.538973871,1.435084525,1.404870747,0.693147181,6.583825359,5.1151827
E10,Haftay-Humera,668,36.57638889,13.97044444,7.6,795,57.7,15,290,2.6,0.7,49,4.9,1.2,2.4,340,84,0,50,3.4,0,5,94,0.37,1.4,0,570,25,10,40,3.8,0,50,35,11,395,0,0,NA,NA,NA,0,0,4.997944536,5,1.791759469,1.791759469,0,0,6.624653128,4.882277317
E11,Abergele,1478,38.99627778,13.43036111,7.1,217,29.7,14,7,0.4,0.2,24,5.1,2.4,0.1,179,84,0,30,4.2,275,15,60,0.52,1.7,0,1070,15,50,0,3.3,0,22,57,18,213,61,5.016638981,10.75,2.05649378,5.674418605,55.7,12.4,10.92250595,3.458805189,2.456735773,1.504077397,4.037774211,2.595254707,6.62628673,5.135474601
E12,Raya-Kobo,1607,39.63388889,11.99144444,7.5,431,26.4,14,21,1.3,0.7,34,1,0.5,0.1,286,85,0.3,230,5.1,0,10,38,0.18,0.6,0.05,590,10,35,67,3.3,0,16,72,9,189,115.75,16.87391972,7.5,1.848422751,15.43333333,185.9,81.5,66.5077498,18.0267394,4.21459369,2.944438979,5.230573714,4.412798293,6.724683992,4.156927996
E13,Tahtay-Adiabo,1042,37.74052778,14.53666667,6.6,337,50.4,20,0,0.6,0.2,40,18.3,7.4,0.1,100,40,0,0,2.7,195,9,70,0.38,1.4,0,740,18,25,107,3.7,0,28,40,28,248,0,0,12,0.707106781,0,0,0,0,0,0,0,0,0,6.508409129,4.880656589
E14,Raya-Alamata,1468,39.62508333,12.49713889,7.4,380,18.5,20,17,0,0,272,2,2.2,0.2,200,78,5.3,1050,4.7,70,1,163,0.39,1.1,0.15,970,12,55,65,2.8,0.7,10,78,9,91,124.25,19.1109698,9.5,0.645497224,13.07894737,115,18.5,22.38018847,5.271727526,3.164067589,1.840549633,4.753590191,2.970414466,6.557639895,4.886408463
E15,Haftay humera,608,36.62694444,14.26083333,7.5,632,61.7,13,374,1.3,0.3,20,7.6,1.6,0.2,375,79,0,60,3.1,0,6,83,0.5,1.3,0.22,460,27,5,92,2.6,1.3,56,22,18,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.187069412,4.693263788
E16,Wuchale,1617,39.12091667,11.48405556,7.1,417,17.3,11,20,0,0,80,3.4,2.1,0.1,194,87,0.9,830,5,60,1,162,0.63,1,0,920,11,55,36,1.6,0,30,33,35,162,0,0,7.25,0.75,0,0,0,0,0,0,0,0,0,6.609494187,4.622725683
E17,Jile-Timuga,1476,39.88508333,10.32591667,7.1,464,26.2,8.6,12,0.8,0.3,49,6.8,2.2,1.2,327,89,0.4,390,3.4,205,7,90,0.35,1.9,0.05,540,34,-5,61,5.5,0,11,55,29,305,11.25,0.478713554,7.75,1.436140662,1.451612903,13.8,2.3,0,0,0,0,2.692936563,1.193922468,6.45162326,4.64880848
E18,Haftay-Humera,625,36.65625,14.17575,7.6,722,83,18,105,1.4,0.3,36,11.3,2.4,1.1,358,76,0,40,3.6,0,2,123,0.46,1.8,0.11,530,35,-10,66,3.9,0.4,49,29,18,472,30,4.636809248,13,2.273030283,2.307692308,21.9,5.4,4.639707032,3.250811864,1.734601055,1.458615023,3.131136911,1.85629799,6.111458395,4.093233287
E19,Kewet,1373,40.02841667,9.853055556,7.6,220,17.7,3.9,17,1.3,0.3,87,4.6,1,6.2,489,95,0,70,5.9,530,33,40,0.4,2.1,0.65,1430,15,60,45,5.3,4.7,46,44,0,456,2,0.577350269,9.75,0.25,0.205128205,1.8,0.6,0,0,0,0,1.047318994,0.470003629,6.276308498,4.768828127
E20,Abergele,1453,39.04077778,13.50269444,7.4,356,36.9,12,91,1.5,0.5,65,6.1,1.9,3.8,254,79,0,120,4.2,380,30,27,0.53,1,0.12,750,14,40,0,1.9,0.5,46,50,2,320,0,0,7.25,0.25,0,0,0,0,0,0,0,0,0,6.574063262,5.187058048
E21,Raya-Alamaxa,1501,39.58802778,12.33797222,7.7,699,12.3,12,44,0,0,44,3.2,3.1,0.1,229,86,0.8,380,6,0,11,37,0.46,0.6,0.13,530,11,30,53,1.3,0.5,28,23,47,104,0,0,7,0.577350269,0,0,0,0,0,0,0,0,0,6.702238682,4.47658516
E22,Tahtay-Adiabo,1040,37.77666667,14.53677778,6.9,255,13.3,8.4,7,0,0,111,2,1.3,1.3,128,81,0,50,3.4,0,13,9,1,0.1,0.34,320,4,30,60,0.1,2.2,19,31,48,159,78,8.031189202,8.75,1.108677891,8.914285714,80,10.2,85.53325556,14.05,4.465908119,2.708050201,4.394757749,2.415913778,6.692664275,5.26016457
E23,Qobo,1503,39.61580556,12.10275,7.2,382,34.2,16,13,1,0.5,61,1.7,0.8,0.1,299,83,0.5,370,4.3,0,8,64,0.26,1,0.04,1590,6,115,42,3.8,0,18,64,14,213,27.5,4.873397172,5.25,0.478713554,5.238095238,45.1,5.7,8.258756612,4.496788978,2.233592221,1.704748092,3.829727763,1.902107526,6.487700565,5.017820813
E24,Kewet,1263,39.92391667,9.989277778,7.6,272,19.9,5.7,43,1.3,0.4,74,7.5,2.1,2,469,92,0.2,140,4.1,385,23,50,0.53,1.9,0.13,1020,19,35,84,3.6,0.5,43,53,0,352,67.5,24.14711853,8.25,0.853912564,8.181818182,68.5,19.2,2.570638481,2.566666667,1.299282984,1.280933845,4.240966976,3.005682604,6.82415556,5.024935248
E25,Tahtay-Adiabo,1078,37.87,14.40625,6.9,654,48,18,31,2.1,0.8,47,6.9,2.5,0.1,170,63,0,20,3.8,0,10,37,0.18,0.6,0,640,9,40,93,3.3,0,37,49,11,272,46.75,9.401905835,11.25,2.096624271,4.155555556,38.9,10.7,6.565699732,2.1,2.014903021,1.131402111,3.687002694,2.459588842,6.722193248,4.762744234
E26,Haftay-Humera,616,36.66305556,14.24644444,7.6,635,79.6,16,331,1.2,0.2,30,8.4,1.7,0.5,386,79,0,50,2.6,0,6,85,0.45,1.3,0.24,480,26,5,102,2.9,1.4,55,18,23,489,53.25,4.802343178,8.75,0.853912564,6.085714286,53.5,6,14.70631812,0.491030662,2.751535313,0.405465108,3.998200702,1.945910149,6.521389499,4.53247894
E27,Raya-Alamata,1513,39.57669444,12.36480556,7.6,502,24.7,10,38,0,0,132,1,0.4,0.1,345,89,2.1,700,8.9,175,4,114,0.42,2,0.29,1490,13,75,110,4.8,1.8,22,66,5,239,10.5,4.031128874,5.75,0.478713554,1.826086957,15.5,5.2,46.00116236,19.22680421,3.850147602,3.005682604,2.80184408,1.824549292,6.314063361,4.743434035
E28,Tahtay-Adiabo,1040,37.7605,14.56113889,7.2,364,47,29,28,1.3,0.8,54,3.1,1.9,0.1,104,64,0,30,7.2,50,2,100,0.31,0.5,0,610,8,45,139,1.6,0,20,21,57,162,0,0,11,1.08012345,0,0,0,2.905913222,1.513274595,1.386294361,0.916290732,0,0,6.590694214,4.178709443
E29,Haftay-Humera,635,36.60313889,14.24077778,7.2,805,68.3,14,107,2.3,0.5,34,8.6,1.8,0.1,373,77,0,30,1.8,160,9,64,0.45,1,0.22,480,21,15,59,2.2,1.3,54,8,35,483,2.5,0.957427108,9,1.471960144,0.277777778,2.5,1,0.809947103,0.8,0.510825624,0.587786665,1.231101472,0.693147181,6.381289563,3.757965694
E30,Artma-Fursi,1460,39.93069444,10.563,6.8,446,34.1,9.1,0,1.8,0.5,649,6.5,1.7,0.4,264,70,39,5710,22,550,24,70,0.61,3.8,0.16,3970,10,215,87,6.2,0.8,45,21,27,375,0,0,11.75,2.015564437,0,0,0,0,0,0,0,0,0,6.358664456,4.737487963
E31,Haftay-Humera,649,36.73280556,14.21602778,7.6,632,67.9,12,238,1.7,0.3,46,6.6,1.2,3,523,86,0,0,3.6,0,4,103,0.39,1.6,0.11,530,29,0,114,4.1,0.4,51,25,20,556,0,0,5.75,1.030776406,0,0,0,2.39633201,2.4,1.203972804,1.223775432,0,0,6.506892687,4.549096482
E32,Wuchale,1565,39.61694444,11.45202778,6.9,518,31.7,14,37,0,0,63,1.2,0.5,0.1,313,85,3,980,5.1,0,1,172,0.52,2.6,0.05,1070,24,20,60,5,0,29,43,23,227,42,2.380476143,3.75,0.853912564,11.2,114.5,30.9,12.19528016,4.652239604,2.564949357,1.722766598,4.749054056,3.46260601,6.375699426,4.840669568
E33,Raya-Azebo,1441,39.64797222,12.10008333,7.3,529,27.7,8.8,11,0.7,0.2,156,17.2,5.5,1.2,354,85,2.6,830,9.3,240,1,141,0.74,3.4,0,2170,16,85,80,4.6,0,45,44,6,315,0,0,8,1.224744871,0,0,0,0,0,0,0,0,0,6.47789258,4.601764828
E34,Haftay-Humera,621,36.57311111,14.08163333,7.1,735,56.8,13,64,2.2,0.5,33,6.6,1.5,0.1,367,82,0,30,2.5,190,11,57,0.46,1.1,0.33,470,23,10,60,2.4,2.1,49,8,39,445,0,0,9,1,0,0,0,1.004039862,1,0.693147181,0.693147181,0,0,6.539044364,4.931517428
E35,Haftay-Humera,625,36.56986111,14.03652778,6.9,930,117.4,23,46,1.8,0.4,40,11.7,2.3,0.9,400,74,0,30,3.5,0,5,90,0.39,1.4,0.12,560,24,10,42,3.6,0.5,50,16,30,511,56,4.123105626,16.5,0.957427108,3.393939394,29.6,2.9,11.77310602,1.160938318,2.538973871,0.78845736,3.421000009,1.360976553,6.495784285,4.154049983
E36,Raya-Alamaxa,1495,39.585,12.42944444,7.1,626,156.8,67,20,0,0,102,2.3,1,1,330,32,1.4,420,5.9,0,6,83,0.3,1.2,0.04,1250,10,75,91,4,0,29,42,25,235,28,6.363961031,7.25,0.478713554,3.862068966,33.9,7.7,23.64878968,5.589374841,3.218875825,1.887069649,3.551053137,2.163323026,6.479241133,4.708090566
E37,Kewet,1263,39.96441667,9.939805556,7.5,193,3.5,1,17,0,0,104,4.4,1.2,0.1,412,98,0.2,110,5,175,10,56,0.25,1,0.39,860,11,50,2,4,2.6,39,23,31,368,21.75,3.682729966,7.75,1.493039406,2.806451613,28.5,9.3,2.04914765,1.020348524,1.098612289,0.693147181,3.383542446,2.332143895,6.25589107,4.631519203
E38,Jile-Timuga,1421,39.96758333,10.24411111,7.4,265,17.4,3.8,17,1.3,0.3,60,5.5,1.2,4.3,412,90,0.3,120,7,405,27,39,0.42,1.6,0,1360,12,70,94,3.8,0,41,55,0,458,17.5,5.979130372,12.75,2.286737122,1.37254902,14.5,6.8,0,0,0,0,2.742451628,2.054123734,6.405034225,4.378053437
E39,Haftay-Humera,628,36.68125,14.23738889,7.4,680,91.5,17,231,1.7,0.3,26,11,2.1,0.1,483,81,0,40,2.2,0,9,47,0.23,0.7,0.25,460,15,20,130,3,1.5,56,15,25,535,64.25,7.25,9.25,0.75,6.945945946,60.2,5.1,6.272036907,4.84469928,1.992430165,1.757857918,4.113738609,1.808288771,5.937083432,4.599591074
E40,Artma-Fursi,1453,39.94658333,10.51480556,6.1,387,25.5,8.3,16,1,0.3,273,6,1.9,1.4,201,65,5.1,1050,6.9,395,22,58,0.64,2.3,0.07,2240,10,140,92,3.6,0,46,15,35,308,4.75,0.75,7.25,1.108677891,0.655172414,6.3,1.5,0,0,0,0,1.984443813,0.916290732,6.614564334,3.677648546
E41,Wuchale,1565,39.11680556,11.44841667,5.9,465,15.8,6.6,12,0,0,120,1.7,0.7,0.6,215,90,3.4,1320,4.7,0,1,183,0.46,2.8,0.07,1710,16,65,70,6.1,0,33,54,7,239,13,1.632993162,7,0.816496581,1.857142857,17.4,4.3,3.786383149,0.611918658,1.609437912,0.470003629,2.912350665,1.667706821,6.155812725,3.84783189
E42,Haftay humera,784,36.90194444,13.82416667,6.9,874,42.7,9.2,21,1.5,0.3,46,6.8,1.5,3.1,374,80,0,50,3.1,280,14,65,0.4,1.8,0.11,900,20,25,87,4.5,0.4,49,46,0,465,NA,NA,NA,,NA,0,0,2.352588704,1.328323923,1.203972804,0.832909123,0,0,6.270894367,4.513563
E43,Wuchale,1571,39.61644444,11.44297222,6.8,457,95.3,59,19,0,0,105,10.3,6.4,0.1,182,34,3.1,1150,5.8,60,1,375,0.56,2.3,0.28,900,25,15,58,4.1,1.7,30,40,24,161,6,0.912870929,5.25,0.478713554,1.142857143,10.1,1.7,0,0,0,0,2.409194828,0.993251773,6.399155754,4.038843165
E44,Haftay humera,783,36.9025,13.82444444,6.8,666,48.6,12,19,0.6,0.2,51,6.2,1.6,1,261,67,0,70,4.4,0,6,89,0.45,1.3,0.03,820,16,35,91,2.9,0,46,22,29,392,NA,NA,NA,,NA,1,0,8.167595785,8.166666667,2.233592221,2.219203484,0.693147181,0,6.462855278,5.182396806
E45,Haftay humera,704,36.55222222,13.92277778,7.7,682,39.9,7.9,97,1.4,0.3,41,6.7,1.3,4.8,447,88,0,0,3.3,240,9,82,0.39,2,0.14,700,28,5,85,5.1,0.6,53,37,4,506,NA,NA,NA,,NA,1,0,0,0,0,0,0.693147181,0,6.652699883,4.396467463
E46,Raya-Azebo,1425,39.65744444,12.09061111,7.5,558,21.8,5.3,36,1.5,0.4,75,3,0.7,0.6,361,88,0.6,270,5.2,0,1,150,0.37,2.3,0,1340,17,50,110,6.2,0,39,55,0,408,2.25,0.62915287,8.75,0.62915287,0.257142857,2.3,0.8,1.540966217,1.533333333,0.980829253,0.916290732,1.208960346,0.587786665,6.474752358,4.506839813
E47,Jile-Timuga,1406,39.89133333,10.24816667,7.5,314,16.9,4.8,30,0.8,0.2,102,2.1,0.6,2,418,94,0.5,270,5.7,570,42,32,0.78,1.8,0,840,22,20,64,2.3,0,48,50,0,349,0,0,8.5,1.040833,0,0,0,0.726289497,0.733333333,0.510825624,0.530628251,0,0,6.41612674,4.410769348
E48,Haftay humera,608,36.62694444,14.26083333,7.5,674,69.8,15,308,1.5,0.3,20,6.3,1.4,0.5,367,79,0,80,2,0,7,75,0.41,1.1,0.18,500,22,15,111,2.7,0.9,56,20,20,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.486809155,4.038426113
E49,Gadisa,1748.25,40.383333,8.705833,5.4,523,34.4,9.3,23,0,0,55,6.2,1.7,0.1,283,75,0,0,4.1,0,1,268,0.67,4,0.12,1510,27,10,91,6,0.5,53,35,6,369,3,1.290994449,3.25,0.478713554,0.923076923,7.3,3.2,12.05349695,1.718849745,2.538973871,0.993251773,2.122261539,1.435084525,,
E50,Gadisa,1781,40.383333,8.713889,6,441,93.7,31,20,0.5,0.2,41,3.1,1,1.7,180,60,0,0,4.2,0,1,172,0.57,2.6,0.06,1460,18,50,84,4.6,0,48,22,25,299,0,0,6.5,0.288675135,0,0.4,0.4,1.394891617,1.4,0.84729786,0.875468737,0.318453731,0.336472237,,
