ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,log.Seedbank_Ave,log.Seedbank_SE,log.Infestation_Ave,log.Infestation_SE,Suicidal_Germ_Ave,Suicidal_Germ_SE,BACTERIA_ShannonIndex,FUNGUS_ShannonIndex,Aphelidiomycota,Ascomycota,Basidiobolomycota,Basidiomycota,Blastocladiomycota,Calcarisporiellomycota,Chytridiomycota,Entomophthoromycota,Entorrhizomycota,Fungi_phy_Incertae_sedis,Glomeromycota,Kickxellomycota,Monoblepharomycota,Mortierellomycota,Mucoromycota,Neocallimastigomycota,Olpidiomycota,Rozellomycota,Fungus_NA,Abditibacteriota,Acidobacteriota,Actinobacteriota,Aenigmarchaeota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Crenarchaeota,Cyanobacteria,Dadabacteria,Deinococcota,Dependentiae,Desulfobacterota,Elusimicrobiota,Entotheonellaeota,FCPU426,Fibrobacterota,Firmicutes,GAL15,Gemmatimonadota,Hydrogenedentes,Latescibacterota,MBNT15,Methylomirabilota,Myxococcota,Bacteria_NA,NB1.j,Nanoarchaeota,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,RCP2.54,SAR324.clade.Marine.group.B.,Spirochaetota,Sumerlaeota,TX1A.33,Thermoplasmatota,Thermotogota,Verrucomicrobiota,WS2,Zixibacteria,Agro_Climate_type
E24,Kewet,1263,39.92391667,9.989277778,7.6,272,19.9,5.7,43,1.3,0.4,74,7.5,2.1,2,469,92,0.2,140,4.1,385,23,50,0.53,1.9,0.13,1020,19,35,84,3.6,0.5,43,53,0,352,68.5,19.2,2.570638481,2.566666667,1.299282984,1.280933845,4.240966976,3.005682604,0,0,6.82415556,5.024935248,0,4.675081124,0,2.101559135,-2.756427618,-2.034292901,2.39004034,0,0,0,0.96571593,-1.564289271,-3.024691605,1.407955021,-1.512103518,0,0,-3.392416385,2.743869747,-1.350014821,4.011629396,3.610379257,0,0.732546848,2.603150128,-1.82001845,2.746826622,0,0,0,0,0,0,-1.903400059,-1.903400059,0,0,0.269373423,-4.345747094,3.030761032,0,-1.743057409,0,0.932367565,1.910002948,-0.356763048,0,-3.247134806,1.663066091,-0.517105698,2.586700797,3.895429056,0.922111065,-3.940281986,0,-3.652599914,0,-1.860840444,-1.325322208,1.787650949,-2.736309182,0,4
E25,Tahtay-Adiabo,1078,37.87,14.40625,6.9,654,48,18,31,2.1,0.8,47,6.9,2.5,0.1,170,63,0,20,3.8,0,10,37,0.18,0.6,0,640,9,40,93,3.3,0,37,49,11,272,38.9,10.7,6.565699732,2.1,2.014903021,1.131402111,3.687002694,2.459588842,34.01350222,16.86368757,6.722193248,4.762744234,0,4.258048698,0,1.737834957,0,-2.930586157,-0.053372484,0,0,0,0.113936281,-1.686262057,0,-3.278892851,-0.865959701,0,0,0,2.705253315,-1.54254774,4.184416334,3.582266218,0,0.356356367,2.570081024,-1.930313271,3.077511058,-1.984380492,0,0,-3.776139962,0,-1.655876425,-2.3898456,0,0,0,-0.480303096,0,3.305288473,0,-0.046438513,0,1.119209177,1.577296704,-1.739258034,0,-4.18160507,1.286455071,-1.003551239,2.465434585,3.631784361,0.290033724,0,0,-2.102163528,0,-3.082992781,0,1.734596993,-3.265314338,0,4
E26,Haftay-Humera,616,36.66305556,14.24644444,7.6,635,79.6,16,331,1.2,0.2,30,8.4,1.7,0.5,386,79,0,50,2.6,0,6,85,0.45,1.3,0.24,480,26,5,102,2.9,1.4,55,18,23,489,53.5,6,14.70631812,0.491030662,2.751535313,0.405465108,3.998200702,1.945910149,0,0,6.521389499,4.53247894,0,4.388477145,0,0.682206873,-2.897029404,-1.9654712,0.087097323,0,0,0,1.78865675,-3.516068612,0,-2.283924931,0.688624007,0,0,0,3.027432049,-2.567394019,3.662330025,3.649365609,0,0.170961531,2.019925479,-2.299130033,2.435002299,0,0,0,-3.186433228,0,-2.041300923,0,0,0,0,-0.701526578,0,2.389515875,0,-1.240523079,-2.493286047,0.607449535,1.181204669,-0.197869444,0,-3.746049016,1.188424917,-1.576995315,1.836507002,3.401313541,-0.08891826,0,0,0,0,-3.186433228,0,0.783858686,0,0,7
E27,Raya-Alamata,1513,39.57669444,12.36480556,7.6,502,24.7,10,38,0,0,132,1,0.4,0.1,345,89,2.1,700,8.9,175,4,114,0.42,2,0.29,1490,13,75,110,4.8,1.8,22,66,5,239,15.5,5.2,46.00116236,19.22680421,3.850147602,3.005682604,2.80184408,1.824549292,7.155664899,4.654299088,6.314063361,4.743434035,0,4.361316101,0,2.270804753,-2.717812128,0,0.882236113,0,0,0,-1.436878282,-1.712290262,0,1.507560697,-1.641672695,0,-2.430130055,-2.592648985,3.509514743,-1.93721992,3.744468415,2.370591899,0,-0.09139323,1.916467508,-1.994378334,2.233742689,-2.119541477,-3.218153766,0,0,0,-2.262642321,0,-1.56949514,0,0,-0.373244382,0,2.672384863,0,-0.956390667,0,0.215833439,1.630746605,-2.262642321,0,-3.728979389,1.250050565,-1.361855775,2.27737377,3.578893391,1.270482604,0,0,0,0,0,0,0.977543291,-2.262642321,0,4
E28,Tahtay-Adiabo,1040,37.7605,14.56113889,7.2,364,47,29,28,1.3,0.8,54,3.1,1.9,0.1,104,64,0,30,7.2,50,2,100,0.31,0.5,0,610,8,45,139,1.6,0,20,21,57,162,0,0,2.905913222,1.513274595,1.386294361,0.916290732,0,0,0,0,6.590694214,4.178709443,0,2.799615937,0,2.496610242,0,0,0.050472833,0,0,0,-3.283515799,0,0,-0.790310346,-3.794341423,0,0,0,2.521468556,-2.243718685,3.662834551,3.195989731,0,-1.684102897,2.507714008,-1.124487109,2.68126794,0,-3.406869495,0,0,0,0,0,-1.797431582,0,0,0.276997418,0,2.523251422,0,0,0,-0.782200903,1.935464757,-2.377250077,0,-4.323160227,0.779750344,0.460156145,2.437254465,3.941589328,0.182189624,0,0,-2.618412134,0,-3.630013046,0,1.586280485,-2.183094063,0,4
E29,Haftay-Humera,635,36.60313889,14.24077778,7.2,805,68.3,14,107,2.3,0.5,34,8.6,1.8,0.1,373,77,0,30,1.8,160,9,64,0.45,1,0.22,480,21,15,59,2.2,1.3,54,8,35,483,2.5,1,0.809947103,0.8,0.510825624,0.587786665,1.231101472,0.693147181,0,0,6.381289563,3.757965694,0,2.928687841,0,2.667597504,0,0,0.196531906,0,0,0,-1.564768356,0,0,-1.382446799,-3.125416104,0,0,-3.078896088,3.358710096,-2.179481676,3.524634077,2.709362561,0,-0.039415512,2.597117626,-1.619865888,3.041684632,-2.084171496,-2.039719733,0,0,0,-1.678706388,0,-2.084171496,0,0,-2.467163748,0,3.182279863,0,-0.912534072,-1.774016568,0.833599236,1.252891323,-0.483866067,0,0,1.27841105,-1.774016568,1.656739616,3.467730447,0.321954276,0,0,-2.977989372,0,-1.879377083,0,0.128090959,0,0,7
E30,Artma-Fursi,1460,39.93069444,10.563,6.8,446,34.1,9.1,0,1.8,0.5,649,6.5,1.7,0.4,264,70,39,5710,22,550,24,70,0.61,3.8,0.16,3970,10,215,87,6.2,0.8,45,21,27,375,0,0,0,0,0,0,0,0,0,0,6.358664456,4.737487963,-1.207143233,4.325418631,0,1.015592932,-2.02390437,0,0.701537574,0,0,0,-3.17658388,-1.567145967,0,1.731156991,-1.832849133,-1.877300895,0,0.854702547,3.056518802,0,4.10505345,2.223812294,0,-0.968034859,2.687726436,-2.855104508,2.283044107,-1.28648859,0,0,0,-2.855104508,-1.09724659,-3.078248059,-2.855104508,0,-3.77139524,0.512191322,0,3.129335424,0,-0.593341409,0,-0.160477327,2.070698851,-2.518632271,-0.614394819,0,1.310009125,0.322949323,2.501481767,3.919804858,1.064886667,0,0,0,0,-2.385100879,0,1.985928002,-3.078248059,0,12
E31,Haftay-Humera,649,36.73280556,14.21602778,7.6,632,67.9,12,238,1.7,0.3,46,6.6,1.2,3,523,86,0,0,3.6,0,4,103,0.39,1.6,0.11,530,29,0,114,4.1,0.4,51,25,20,556,0,0,2.39633201,2.4,1.203972804,1.223775432,0,0,0,0,6.506892687,4.549096482,0,3.507485787,0,-0.665068301,0,0,0.636376846,0,0,0,-1.358215482,0,0,-1.640620497,-1.366183652,0,0,-2.898660523,3.784885823,-1.517502043,3.401483032,2.435924606,0,0.343755221,2.509876812,-0.859040421,2.702339831,0,-3.355781528,-2.816785027,0,0,-1.389668672,0,0,0,-3.509932208,-1.312707631,0,2.570000987,0,-0.94498285,0,0.651551657,1.522681993,-0.34586462,-3.355781528,0,1.17374104,-0.092205524,1.68579857,3.564043475,0.035846403,0,0,0,0,-3.355781528,0,0.258989954,0,0,7
E32,Wuchale,1565,39.61694444,11.45202778,6.9,518,31.7,14,37,0,0,63,1.2,0.5,0.1,313,85,3,980,5.1,0,1,172,0.52,2.6,0.05,1070,24,20,60,5,0,29,43,23,227,114.5,30.9,12.19528016,4.652239604,2.564949357,1.722766598,4.749054056,3.46260601,42.39015124,17.60238502,6.375699426,4.840669568,0,3.586966462,0,0.516928382,0,0,0.71554832,0,0,0,-0.645659206,-1.700211505,0,0.17423968,-0.743374679,0,0,-3.681212974,1.776775521,0,3.064402716,2.922321761,0,-0.519932882,1.551202197,0,1.889922666,-1.795001608,-2.488148789,0,0,0,-1.038138613,0,0,0,0,-0.966679649,0,1.47816302,0,-1.242933026,-3.23536319,-0.038960221,0.862678234,-1.407236077,-3.640828299,0,0.607666943,-1.038138613,1.229266973,3.17170013,-0.428641462,0,0,0,0,0,0,1.062677788,0,0,4
E33,Raya-Azebo,1441,39.64797222,12.10008333,7.3,529,27.7,8.8,11,0.7,0.2,156,17.2,5.5,1.2,354,85,2.6,830,9.3,240,1,141,0.74,3.4,0,2170,16,85,80,4.6,0,45,44,6,315,0,0,0,0,0,0,0,0,0,0,6.47789258,4.601764828,-3.507724476,5.56089871,0,1.740176405,-0.968750605,0,1.580900137,0,0,-4.606336764,0.356507866,-1.17234956,0,2.236879994,0.176979607,-2.121430115,0,-2.996898852,3.721147652,-4.171750476,4.563453115,3.040789783,0,0.076744766,2.584018446,-1.632776605,3.026183756,0,-1.938158254,0,0,-4.577215584,-1.974525899,-2.705413407,-0.79302595,0,-3.660924852,0.218574962,0,3.207257652,0,-0.039254148,0,1.466604193,2.43984243,-1.095975495,-1.715014703,-4.577215584,2.231823722,-0.560832563,2.904621768,4.164160618,2.252037467,-4.171750476,0,0,0,0,0,1.437721319,0,0,4
E34,Haftay-Humera,621,36.57311111,14.08163333,7.1,735,56.8,13,64,2.2,0.5,33,6.6,1.5,0.1,367,82,0,30,2.5,190,11,57,0.46,1.1,0.33,470,23,10,60,2.4,2.1,49,8,39,445,0,0,1.004039862,1,0.693147181,0.693147181,0,0,0.18115942,0.175,6.539044364,4.931517428,0,4.281409611,0,1.218018689,0,-4.303442229,1.299598676,0,0,0,0.390196605,-2.981686389,0,-1.470228885,-1.952066972,0,0,0,3.518200897,-1.439313356,3.98287956,3.214944569,0,0.78868288,2.98814961,-0.670942755,3.431580828,-1.686173434,-1.726995429,0,-3.806436971,-3.295611347,0,-2.95913911,-2.071835915,0,0,0,0,3.54792536,-4.211902079,-2.707824682,-1.96061028,0.815262517,1.653148544,-0.299879073,0,0,1.537490907,0.144806748,1.953515776,3.924469836,0.685937721,0,0,-2.707824682,0,0,0,0.875694257,0,0,7
E35,Haftay-Humera,625,36.56986111,14.03652778,6.9,930,117.4,23,46,1.8,0.4,40,11.7,2.3,0.9,400,74,0,30,3.5,0,5,90,0.39,1.4,0.12,560,24,10,42,3.6,0.5,50,16,30,511,29.6,2.9,11.77310602,1.160938318,2.538973871,0.78845736,3.421000009,1.360976553,0,0,6.495784285,4.154049983,0,4.272922451,0,0.689145148,-2.261124752,0,0.260149542,0,0,0,-1.482819763,0,0,-1.535187748,-1.493076263,0,0,-1.908904158,3.458895543,-1.817495302,3.441077076,3.170588763,0,-0.134935125,2.577379475,-1.817495302,3.094652356,-2.294419374,-1.547204972,0,0,0,-3.57535322,0,-0.599823654,0,-3.798496771,-1.400601498,0,2.945562415,0,-0.550062144,-2.619841775,0.240158885,1.600796513,-0.854057792,0,0,1.208799622,-1.378128642,1.344627706,3.55009076,-0.894331691,0,0,0,0,0,0,0.108513693,0,0,7
E36,Raya-Alamaxa,1495,39.585,12.42944444,7.1,626,156.8,67,20,0,0,102,2.3,1,1,330,32,1.4,420,5.9,0,6,83,0.3,1.2,0.04,1250,10,75,91,4,0,29,42,25,235,33.9,7.7,23.64878968,5.589374841,3.218875825,1.887069649,3.551053137,2.163323026,0,0,6.479241133,4.708090566,0,4.148023636,0,0.70952687,-3.124734774,0,1.954366503,0,0,0,-0.431610224,-1.45772701,0,0.587028974,-1.966224344,0,0,-3.376049203,2.957399573,0,4.472093249,2.814672152,0,0.999025078,2.492044211,-1.613094596,3.152056417,-1.847934187,-3.071709619,0,0,0,-4.681147531,-2.976399439,-0.799583733,0,-2.378562438,0.309285055,0,2.953431455,0,-0.83099993,0,1.291389006,1.862044631,-1.215411629,-2.889388062,-3.582535243,2.182133257,-0.554013146,2.684981511,3.746120952,1.828366485,-3.7648568,0,0,0,0,0,1.74776517,-2.329772274,0,4
E37,Kewet,1263,39.96441667,9.939805556,7.5,193,3.5,1,17,0,0,104,4.4,1.2,0.1,412,98,0.2,110,5,175,10,56,0.25,1,0.39,860,11,50,2,4,2.6,39,23,31,368,28.5,9.3,2.04914765,1.020348524,1.098612289,0.693147181,3.383542446,2.332143895,36.74844553,20.72110438,6.25589107,4.631519203,0,4.324743113,0,1.280911045,-3.64634264,0,2.188050299,0,0,0,-0.240394656,-2.373376964,0,0.604191339,-0.099191346,-3.027303432,0,-2.008733851,2.997447093,-3.692564493,3.368984259,2.627304116,0,-0.748125514,1.500392358,-3.469420942,2.367726245,0,0,0,0,0,0,0,-2.881634277,0,0,-1.053507164,0,2.248264438,0,-1.127615136,0,0.481822777,1.257966877,-0.830363612,-2.513909497,0,0.99418568,-1.943364638,1.985900173,3.432517452,0.548762259,0,0,0,0,0,0,0.328312917,-2.881634277,0,4
E38,Jile-Timuga,1421,39.96758333,10.24411111,7.4,265,17.4,3.8,17,1.3,0.3,60,5.5,1.2,4.3,412,90,0.3,120,7,405,27,39,0.42,1.6,0,1360,12,70,94,3.8,0,41,55,0,458,14.5,6.8,0,0,0,0,2.742451628,2.054123734,0,0,6.405034225,4.378053437,0,4.786165474,0,1.499378443,0,0,1.79592772,0,0,0,0.21351848,0,0,-0.178701402,-3.59314401,-3.816287561,0,-2.89999683,2.193139686,-3.090322247,3.808248122,2.669480428,0,0.516727189,1.465057274,0,2.514428847,-1.991709958,0,0,0,0,-1.778135858,0,0,0,0,-0.89309767,0,2.455970646,0,-0.03228609,-4.343085216,0.267072512,1.001638524,-1.602245192,0,-4.343085216,0.841503386,-1.298562778,2.02424397,3.362627608,0.866400937,-3.649938035,0,0,0,0,0,1.229068817,0,0,4
E39,Haftay-Humera,628,36.68125,14.23738889,7.4,680,91.5,17,231,1.7,0.3,26,11,2.1,0.1,483,81,0,40,2.2,0,9,47,0.23,0.7,0.25,460,15,20,130,3,1.5,56,15,25,535,60.2,5.1,6.272036907,4.84469928,1.992430165,1.757857918,4.113738609,1.808288771,64.88582715,18.06437562,5.937083432,4.599591074,0,4.182516833,0,0.018001168,-2.945395725,-3.397380848,1.07016796,0,0,0,-0.452941869,0,0,-0.854654628,-1.846783436,0,0,0,4.226470544,0,3.618356555,3.016114199,0,0.107580762,2.482726238,-3.773983036,2.894880335,-2.387688675,-2.675370748,-2.857692304,-3.080835856,0,0,0,0,0,0,-2.675370748,0,3.077730852,0,-2.387688675,-1.422607779,0.979607155,0.826174608,-0.036313418,0,0,1.657553174,-0.20445034,1.483512336,3.515627485,0.353151349,0,0,-1.828072887,0,0,0,-0.682940583,0,0,7
E40,Artma-Fursi,1453,39.94658333,10.51480556,6.1,387,25.5,8.3,16,1,0.3,273,6,1.9,1.4,201,65,5.1,1050,6.9,395,22,58,0.64,2.3,0.07,2240,10,140,92,3.6,0,46,15,35,308,6.3,1.5,0,0,0,0,1.984443813,0.916290732,0,0,6.614564334,3.677648546,0,5.283499818,0,1.298733407,-4.234656081,0,1.358194833,0,0,0,-0.264364168,-1.983364283,0,0.259582544,-4.234656081,0,0,0,2.517030012,-2.491198156,4.022260187,3.105798286,0,0.432790212,1.678444146,-3.957535225,2.456470031,-2.111708535,-2.111708535,0,0,0,-0.402187164,-3.957535225,-1.205999912,0,0,0.945267364,0,2.849294135,0,-0.052201208,0,0.627432253,1.445142157,-1.920653298,0,0,0.617175753,-2.22293417,2.448244045,3.681625946,0.271728655,0,0,-3.110237365,0,0,0,2.226613666,-3.264388045,0,12
E41,Wuchale,1565,39.11680556,11.44841667,5.9,465,15.8,6.6,12,0,0,120,1.7,0.7,0.6,215,90,3.4,1320,4.7,0,1,183,0.46,2.8,0.07,1710,16,65,70,6.1,0,33,54,7,239,17.4,4.3,3.786383149,0.611918658,1.609437912,0.470003629,2.912350665,1.667706821,22.38855256,21.24935293,6.155812725,3.84783189,0,5.179560289,0,1.059740761,-2.533649926,0,1.406543956,0,-3.380947787,0,0.685225899,-1.771509874,0,0.638433737,-0.597996277,0,0,-3.380947787,2.69554701,-3.365664893,3.271218606,2.551306992,0,-0.146789069,0.795447845,0,2.027962653,0,0,0,0,0,-1.910377661,0,-2.053478504,0,0,0.035532488,0,1.985515963,0,-1.979370532,0,-0.300939748,0.475322339,-4.618427862,0,0,0.709448307,-2.91367977,1.441862876,2.800353021,0.006544951,0,0,0,0,0,0,1.188211998,0,0,13
E42,Haftay humera,784,36.90194444,13.82416667,6.9,874,42.7,9.2,21,1.5,0.3,46,6.8,1.5,3.1,374,80,0,50,3.1,280,14,65,0.4,1.8,0.11,900,20,25,87,4.5,0.4,49,46,0,465,0,0,2.352588704,1.328323923,1.203972804,0.832909123,0,0,0,0,6.270894367,4.513563,0,3.959816783,0,1.185215436,-2.47834621,0,0.450940964,0,0,0,-3.037961998,-2.942651819,0,0.227797412,0,0,0,0,2.635189433,-1.912562963,3.827028964,3.040619756,0,-0.060178872,2.191112927,-3.992004505,2.955452141,-1.851938341,-3.075713773,0,0,-3.992004505,-0.947482067,0,-0.878489195,0,0,-0.196515315,0,2.796404017,0,-0.436656443,0,1.051420612,1.981805107,-1.101632747,-1.977101484,0,1.503112438,-0.659799994,1.875878981,3.579469144,-0.070031168,0,0,-2.739241536,0,0,0,1.376305234,-2.287256412,0,4
E43,Wuchale,1571,39.61644444,11.44297222,6.8,457,95.3,59,19,0,0,105,10.3,6.4,0.1,182,34,3.1,1150,5.8,60,1,375,0.56,2.3,0.28,900,25,15,58,4.1,1.7,30,40,24,161,10.1,1.7,0,0,0,0,2.409194828,0.993251773,0,0,6.399155754,4.038843165,0,5.197194248,0,1.677965075,-2.952439582,0,1.253910039,0,0,0,0.28841515,-3.35790469,0,0.059821994,-1.891567621,0,0,-3.070222617,2.794828005,-2.409542617,3.931110588,3.212969545,0,1.032476759,2.063999126,-3.508154906,2.945470093,-2.186399066,-1.950010288,0,0,0,-1.283531354,0,-1.493251885,0,-3.285011354,0.883203056,0,2.411410766,0,-0.175950396,0,0.452658264,1.320158832,-1.950010288,0,0,1.266758055,-2.255391937,2.18641863,3.409550704,0.476188761,0,0,-3.102689798,0,0,0,1.515725615,-3.508154906,0,4
E44,Haftay humera,783,36.9025,13.82444444,6.8,666,48.6,12,19,0.6,0.2,51,6.2,1.6,1,261,67,0,70,4.4,0,6,89,0.45,1.3,0.03,820,16,35,91,2.9,0,46,22,29,392,1,0,8.167595785,8.166666667,2.233592221,2.219203484,0.693147181,0,0,0,6.462855278,5.182396806,0,4.31970235,0,1.595697974,0,-2.523767008,0.321754184,0,0,0,-1.055407694,-1.971698426,0,0.117168256,-1.507392818,0,0,-1.75463392,2.458577101,-3.747399915,3.81163834,3.739773779,0,-0.476564352,2.045613693,-1.955640446,2.705174663,-2.766570662,-2.281062847,0,0,0,-2.073423482,0,-1.513807694,0,0,0.401011868,0,2.055725003,0,-2.543427111,0,0.496322048,1.522174982,-0.76847476,0,0,0.937812978,-0.001825118,1.630960159,3.773015293,0.289786233,0,0,-3.236574292,0,-3.459717843,0,1.41547948,0,0,4
E45,Haftay humera,704,36.55222222,13.92277778,7.7,682,39.9,7.9,97,1.4,0.3,41,6.7,1.3,4.8,447,88,0,0,3.3,240,9,82,0.39,2,0.14,700,28,5,85,5.1,0.6,53,37,4,506,1,0,0,0,0,0,0.693147181,0,0,0,6.652699883,4.396467463,0,4.496462262,0,1.720277582,0,0,0.627895843,0,-4.165826449,0,-1.275454691,0,0,-1.347428191,-2.661749052,0,0,0,2.605822697,-4.354107236,3.667805543,3.359677381,0,0.235949313,2.462628645,-1.613267212,3.048953855,-2.482305059,-2.274665694,0,0,-2.051522143,0,0,-1.613267212,0,0,-0.432133899,0,2.625968705,0,-0.743189323,-2.339204215,0.368845986,1.944842011,0.408066699,0,-4.354107236,1.553975703,1.066427764,2.30902546,3.981803859,0.646477723,0,0,-3.101344267,0,0,0,0.934159795,-3.255494947,0,7
E46,Raya-Azebo,1425,39.65744444,12.09061111,7.5,558,21.8,5.3,36,1.5,0.4,75,3,0.7,0.6,361,88,0.6,270,5.2,0,1,150,0.37,2.3,0,1340,17,50,110,6.2,0,39,55,0,408,2.3,0.8,1.540966217,1.533333333,0.980829253,0.916290732,1.208960346,0.587786665,70.05854008,8.200342981,6.474752358,4.506839813,0,4.954691224,0,1.737221346,-4.850328669,0,1.950398038,0,0,0,-0.240170941,-3.058569199,0,1.165828491,-0.707193942,0,0,-3.145580576,2.193704229,0,4.223686219,3.578984909,0,0.074872748,2.255850709,0,2.940339827,-1.399127193,-3.008565106,0,0,0,-1.468120065,-2.854414426,-1.909952817,0,-2.603099998,0.082477348,-2.854414426,2.845073124,0,-0.072936756,0,1.063306601,1.507773866,-0.774972884,-2.720883033,0,0.952248064,-1.399127193,2.1936084,3.721258965,0.998768079,0,0,-4.107177394,0,-2.720883033,0,1.455425467,0,0,4
E47,Jile-Timuga,1406,39.89133333,10.24816667,7.5,314,16.9,4.8,30,0.8,0.2,102,2.1,0.6,2,418,94,0.5,270,5.7,570,42,32,0.78,1.8,0,840,22,20,64,2.3,0,48,50,0,349,0,0,0.726289497,0.733333333,0.510825624,0.530628251,0,0,0,0,6.41612674,4.410769348,-3.603225166,4.730165372,0,1.008589563,-3.197760058,0,3.131168298,0,0,0,-0.282996847,0,0,-0.906348265,-2.830035278,0,0,-1.051179213,3.001621593,-3.483884869,4.23568912,3.607857246,-3.889349977,0.46735885,2.137722998,-3.196202796,2.891139951,-0.918935511,-2.38527258,0,0,-3.889349977,-1.749283813,0,0,0,0,1.331005848,0,2.187144819,0,0.080941937,0,0.24581658,1.745439626,-1.181299776,-2.636587008,0,1.237585773,-0.093860788,2.49077256,4.129440111,1.339081262,0,0,0,0,0,0,1.283970899,-2.503055616,-3.483884869,13
E48,Haftay humera,608,36.62694444,14.26083333,7.5,674,69.8,15,308,1.5,0.3,20,6.3,1.4,0.5,367,79,0,80,2,0,7,75,0.41,1.1,0.18,500,22,15,111,2.7,0.9,56,20,20,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.486809155,4.038426113,0,4.825328407,0,0.578870061,-0.4034287,-2.03266924,1.409670085,0,0,0,-0.832704457,0,0,-1.235162044,1.616429344,-4.335254333,0,-2.900169808,3.309090684,-2.997974014,4.192496477,3.921979293,0,0.412273203,2.938602267,-2.063664777,3.319026563,-1.13318941,-1.732307641,-3.316427745,0,0,-2.028573457,-3.604109818,-3.316427745,0,0,0.462063867,0,3.213538388,0,-1.589206797,-2.304826834,0.9212954,1.58606539,0.372451709,0,-3.786431375,2.099116947,-0.575587722,2.289833774,3.972072945,0.646763547,0,0,-2.756811958,0,0,0,0.857959524,0,0,7
E49,Gadisa,1748.25,40.383333,8.705833,5.4,523,34.4,9.3,23,0,0,55,6.2,1.7,0.1,283,75,0,0,4.1,0,1,268,0.67,4,0.12,1510,27,10,91,6,0.5,53,35,6,369,7.3,3.2,12.05349695,1.718849745,2.538973871,0.993251773,2.122261539,1.435084525,1.051503311,0.861684397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
E50,Gadisa,1781,40.383333,8.713889,6,441,93.7,31,20,0.5,0.2,41,3.1,1,1.7,180,60,0,0,4.2,0,1,172,0.57,2.6,0.06,1460,18,50,84,4.6,0,48,22,25,299,0.4,0.4,1.394891617,1.4,0.84729786,0.875468737,0.318453731,0.336472237,8.885542169,8.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
